title,artist,genre
I wonder,Da-iCE,J-POP
アイオライト,水瀬いのり,アニソン
愛して愛して愛して,きくお feat.初音ミク,ボカロ
アイマイモコ,水瀬いのり,アニソン
IRIS OUT,米津玄師,J-POP
irony,ClariS,アニソン
青い珊瑚礁,松田聖子,J-POP
青空のラプソディ,fhána,アニソン
青と夏,Mrs. GREEN APPLE,J-POP
青のすみか,キタニタツヤ,アニソン
秋のあなたの空遠く,lily white,アニソン
明け星,LiSA,アニソン
朝を呑む,バルーン feat. 初音ミク,ボカロ
明日への手紙,手嶌葵,J-POP
あの夢をなぞって,YOASOBI,J-POP
Absolute 5,ワルキューレ,アニソン
アポロ,ポルノグラフィティ,J-POP
天ノ弱,164 feat.GUMI,ボカロ
雨とカプチーノ,ヨルシカ,J-POP
雨とペトラ,バルーン feat. v flower,ボカロ
アヤノの幸福理論,じん feat. IA,ボカロ
ありふれた悲しみの果て,絢瀬絵里(CV.南條愛乃),アニソン
UNDEAD,YOASOBI,アニソン
イケナイ太陽,ORANGE RANGE,J-POP
一度だけの恋なら,ワルキューレ,アニソン
射手座☆午後九時Don't be late,シェリル・ノーム starring May'n,アニソン
命のユースティティア,Neru feat. 鏡音レン,ボカロ
ウィアートル,rionos,アニソン
Winter Blossom,美風藍(CV.蒼井翔太),アニソン
Watch me!,YOASOBI,アニソン
噓,シド,アニソン
泡沫サタデーナイト!,モーニング娘。’19,アイドル
エイリアンズ,KIRINJI,J-POP
エゴロック,すりぃ feat. 鏡音レン,ボカロ
ETERNAL BLAZE,水樹奈々,アニソン
ENAMEL,シド,アニソン
エメラルドシティ,TOKOTOKO(西沢さんP) feat. MAYU,ボカロ
大阪LOVER,DREAMS COME TRUE,J-POP
Overdose,なとり,J-POP
おくすり飲んで寝よう,もちうつね feat. 初音ミク,ボカロ
乙女解剖,DECO*27 feat.初音ミク,ボカロ
お勉強しといてよ,ずっと真夜中でいいのに。,J-POP
おやすみ泣き声、さよなら歌姫,クリープハイプ,J-POP
オリオンをなぞる,UNISON SQUARE GARDEN,アニソン
女の子は誰でも,東京事変,J-POP
怪獣,サカナクション,アニソン
怪獣の花唄,Vaundy,J-POP
快眠!安眠!スヤリスト生活,スヤリス姫(CV.水瀬いのり),アニソン
風に薫る夏の記憶,AAA,J-POP
風になる,つじあやの,アニソン
奏,スキマスイッチ,J-POP
カヌレ,CHiCO with HoneyWorks,アニソン
花瓶に触れた,バルーン feat. v flower,ボカロ
カブトムシ,aiko,J-POP
からくりピエロ,40mP feat.初音ミク,ボカロ
Calc.,ジミーサムP feat. 初音ミク,ボカロ
kiss,みきーの(みきとP×keeno) feat. 初音ミク,ボカロ
キス・ミー・パティシエ,CANDY TUNE,アイドル
KissHug,aiko,J-POP
君色に染まる,TOKOTOKO(西沢さんP) feat. GUMI,ボカロ
君がくれた夏,家入レオ,J-POP
君とtea for two♡,わーすた,アイドル
君と夏フェス,SHISHAMO,J-POP
君の知らない物語,Supercell,アニソン
逆光,Ado,アニソン
Catch You Catch,グミ(日向めぐみ),アニソン
Can Do,GRANRODEO,アニソン
きゅるりんしてみて,きゅるりんってしてみて,アイドル
きょういくばんぐみのテーマ,やみの おねえさん,ボカロ
境界の彼方,茅原実里,アニソン
キラキラ,aiko,J-POP
ギラギラ,Ado,J-POP
禁断少女,Juice=Juice,アイドル
クイーンオブハート,奏音69 feat. 巡音ルカ,ボカロ
Good-bye days,YUI for 雨音薫,J-POP
グリズリーに襲われたら♡,神宿,アイドル
紅蓮華,LiSA,アニソン
黒猫 ～Adult Black Cat,Acid Black Cherry,J-POP
群青,YOASOBI,J-POP
月光花,Janne Da Arc,アニソン
Get Wild,TM NETWORK,アニソン
小悪魔だってかまわない！,めいちゃん,J-POP
恋!ハレイション THE WAR,ワルキューレ,アニソン
恋になりたいAQUARIUM,Aqours,アニソン
恋のシグナル Rin rin rin!,星空凛(CV.飯田里穂),アニソン
恋の魔法,feat. ぱなまん/TOKOTOKO(西沢さんP),ボカロ
ゴーストルール,DECO*27 feat. 初音ミク,ボカロ
コールボーイ,syudou feat. 初音ミク,ボカロ
ココア,AAA,J-POP
心做し,蝶々P feat. GUMI,ボカロ
心予報,Eve,J-POP
God knows...,涼宮ハルヒ(CV.平野綾),アニソン
