,むかいせな　歌った曲リスト,更新日:,2026/05/27,390,90,208,9,,,279,32,12.0
,曲名,読み仮名,アーティスト名,歌った回数,YouTube音源,JOYSOUND音源,弾き語り,最終歌唱日,経過日数,歌える楽曲数,歌枠回数,1枠平均曲数
1,I wonder,アイ ワンダー,Da-iCE,1,,〇,,2026/01/14,133日,,,
2,アイオライト,アイオライト,水瀬いのり,2,,〇,,2025/11/21,187日,,,
3,愛して愛して愛して,あいしてあいしてあいして,きくお feat.初音ミク,1,,〇,,2026/01/15,132日,,,
4,アイマイモコ,アイマイモコ,水瀬いのり,1,,〇,,2025/11/21,187日,,,
5,IRIS OUT,アイリス アウト,米津玄師,1,,〇,,2025/11/28,180日,,,
6,irony,アイロニー,ClariS,1,〇,,,2025/07/31,300日,,,
7,青い珊瑚礁,あおいさんごしょう,松田聖子,1,,〇,,2025/07/18,313日,,,
8,青空のラプソディ,あおぞらのラプソディ,fhána,1,,〇,,2026/05/10,17日,,,
9,青と夏,あおちなつ,Mrs. GREEN APPLE,1,,〇,,2025/07/18,313日,,,
10,青のすみか,あおのすみか,キタニタツヤ,1,,〇,,2025/07/18,313日,,,
11,秋のあなたの空遠く,あきのあなたのそらとおく,lily white,1,,〇,,2025/11/17,191日,,,
12,明け星,あけぼし,LiSA,1,〇,,,2025/12/09,169日,,,
13,朝を呑む,あさをのむ,バルーン feat. 初音ミク,1,,〇,,2025/11/28,180日,,,
14,明日への手紙,あすへのてがみ,手嶌葵,1,,〇,,2025/07/18,313日,,,
15,あの夢をなぞって,あのゆめをなぞって,YOASOBI,2,,〇,,2026/03/23,65日,,,
16,Absolute 5,アブソリュート ファイブ,ワルキューレ,2,,〇,,2025/08/28,272日,,,
17,アポロ,アポロ,ポルノグラフィティ,1,,〇,,2025/09/02,267日,,,
18,天ノ弱,あまのじゃく,164 feat.GUMI,1,〇,,,2025/07/31,300日,,,
19,雨とカプチーノ,あめとカプチーノ,ヨルシカ,2,〇,〇,,2025/11/28,180日,,,
20,雨とペトラ,あめとペトラ,バルーン feat. v flower,2,〇,〇,,2025/11/28,180日,,,
21,アヤノの幸福理論,アヤノのこうふくりろん,じん feat. IA,1,〇,,,2025/07/31,300日,,,
22,ありふれた悲しみの果て,ありふれたかなしみのはて,絢瀬絵里(CV.南條愛乃),1,,〇,,2025/12/07,171日,,,
23,UNDEAD,アンデッド,YOASOBI,1,〇,,,2025/05/24,368日,,,
24,イケナイ太陽,イケナイたいよう,ORANGE RANGE,1,,〇,,2025/08/31,269日,,,
25,一度だけの恋なら,いちどだけのこいなら,ワルキューレ,1,〇,,,2025/04/13,409日,,,
26,射手座☆午後九時Don't be late,いてざ ごごくじドント ビー レイト,シェリル・ノーム starring May'n,1,,〇,,2025/10/02,237日,,,
27,命のユースティティア,いのちのユースティティア,Neru feat. 鏡音レン,1,,〇,,2025/04/30,392日,,,
28,ウィアートル,ウィアートル,rionos,2,〇,,,2025/07/18,313日,,,
29,Winter Blossom,ウィンター ブロッサム,美風藍(CV.蒼井翔太),2,,〇,,2026/01/14,133日,,,
30,Watch me!,ウォッチ ミー,YOASOBI,1,,〇,,2026/01/14,133日,,,
31,噓,うそ,シド,3,〇,〇,,2025/11/21,187日,,,
32,泡沫サタデーナイト!,うたかたサタデーナイト,モーニング娘。’19,1,,〇,,2025/11/21,187日,,,
33,エイリアンズ,エイリアンズ,KIRINJI,1,,〇,,2025/05/13,379日,,,
34,エゴロック,エゴロック,すりぃ feat. 鏡音レン,1,,〇,,2026/01/15,132日,,,
35,ETERNAL BLAZE,エターナル ブレイズ,水樹奈々,1,,〇,,2025/08/30,270日,,,
36,ENAMEL,エナメル,シド,1,,〇,,2025/08/30,270日,,,
37,エメラルドシティ,エメラルドシティ,TOKOTOKO(西沢さんP) feat. MAYU,3,,〇,,2025/11/17,191日,,,
38,大阪LOVER,おおさかラバー,DREAMS COME TRUE,1,,〇,,2025/11/28,180日,,,
39,Overdose,オーバードーズ,なとり,1,〇,,,2025/12/09,169日,,,
40,おくすり飲んで寝よう,おくすりのんでねよう,もちうつね feat. 初音ミク,2,〇,〇,,2025/12/22,156日,,,
41,乙女解剖,おとめかいぼう,DECO*27 feat.初音ミク,1,,〇,,2026/01/22,125日,,,
42,お勉強しといてよ,おべんきょうしといてよ,ずっと真夜中でいいのに。,1,,〇,,2025/11/21,187日,,,
43,おやすみ泣き声、さよなら歌姫,おやすみなきごえ さよならうたひめ,クリープハイプ,1,〇,,,2025/04/22,400日,,,
44,オリオンをなぞる,オリオンをなぞる,UNISON SQUARE GARDEN,1,,〇,,2025/07/18,313日,,,
45,女の子は誰でも,おんなのこはだれでも,東京事変,1,〇,,,2025/09/19,250日,,,
46,怪獣,かいじゅう,サカナクション,1,〇,,,2025/05/24,368日,,,
47,怪獣の花唄,かいじゅうのはなうた,Vaundy,2,〇,〇,,2025/09/02,267日,,,
